"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"soir";-1,874;0,175;0,552;3,302;-0,267;-0,202
"social";-2,5;0,008;9,431;-0,295;-0,356;-0,269
"simon";-0,032;0,175;0,552;-0,221;-0,267;-0,202
"service";-0,304;0,008;3,039;-0,295;-0,356;-0,269
"scène";3,676;-0,028;-1,041;-0,369;-0,445;-0,337
"santé";-2,5;13,325;-0,832;-0,295;-0,356;-0,269
"sacré";1,017;-0,906;0,552;-0,221;-0,267;-0,202
"résultat";-0,718;9,123;-1,041;-0,369;-0,445;-0,337
"récent";3,676;-1,512;0,028;-0,369;-0,445;-0,337
"rumeur";0,006;3,833;-1,041;-0,369;-0,445;-0,337
"ruine";6,441;-1,209;-0,832;-0,295;-0,356;-0,269
"reporter";-0,718;-1,512;6,471;1,359;-0,445;-0,337
"reine";3,676;-0,028;-1,041;-0,369;-0,445;-0,337
"reconnaître";-2,5;0,008;9,431;-0,295;-0,356;-0,269
"rapidement";0,006;-0,028;1,838;-0,369;-0,445;-0,337
