"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12"
"1";0;0;0;0;0;0;0;0;0;0;0;1
"2";0;0;0;0;0;0;0;0;0;0;0;1
"3";0;0;0;0;0;0;0;0;0;0;0;1
"4";0;0;0;0;0;0;0;0;0;0;0;1
"5";0;0;0;0;0;0;0;0;0;0;0;1
"6";0;0;0;0;0;0;0;0;0;0;0;1
"7";0;0;0;0;0;0;0;0;0;0;0;2
"8";0;0;0;0;0;0;0;0;0;0;0;2
"9";0;0;0;0;0;0;0;0;0;0;0;1
"10";0;0;0;0;0;0;0;0;0;0;0;2
"11";0;0;0;0;0;0;0;0;0;0;0;2
"12";0;0;0;0;0;0;0;0;0;0;0;2
"13";0;0;0;0;0;0;0;0;0;0;0;1
"14";0;0;0;0;0;0;0;0;0;0;0;1
"15";0;0;0;0;0;0;0;0;0;0;0;1
"16";0;0;0;0;0;0;0;0;0;0;0;1
"17";0;0;0;0;0;0;0;0;0;0;0;1
"18";0;0;0;0;0;0;0;0;0;0;0;1
"19";0;0;0;0;0;0;0;0;0;0;0;2
"20";0;0;0;0;0;0;0;0;0;0;0;2
"21";0;0;0;0;0;0;0;0;0;0;0;2
"22";0;0;0;0;0;0;0;0;0;0;0;2
"23";0;0;0;0;0;0;0;0;0;0;0;1
"24";0;0;0;0;0;0;0;0;0;0;0;1
"25";0;0;0;0;0;0;0;0;0;0;0;1
"26";0;0;0;0;0;0;0;0;0;0;0;1
"27";0;0;0;0;0;0;0;0;0;0;0;2
"28";0;0;0;0;0;0;0;0;0;0;0;1
"29";0;0;0;0;0;0;0;0;0;0;0;1
"30";0;0;0;0;0;0;0;0;0;0;0;1
"31";0;0;0;0;0;0;0;0;0;0;0;1
"32";0;0;0;0;0;0;0;0;0;0;0;2
"33";0;0;0;0;0;0;0;0;0;0;0;2
"34";0;0;0;0;0;0;0;0;0;0;0;1
"35";0;0;0;0;0;0;0;0;0;0;0;1
"36";0;0;0;0;0;0;0;0;0;0;0;1
"37";0;0;0;0;0;0;0;0;0;0;0;1
"38";0;0;0;0;0;0;0;0;0;0;0;1
"39";0;0;0;0;0;0;0;0;0;0;0;1
"40";0;0;0;0;0;0;0;0;0;0;0;1
"41";0;0;0;0;0;0;0;0;0;0;0;1
"42";0;0;0;0;0;0;0;0;0;0;0;1
"43";0;0;0;0;0;0;0;0;0;0;0;1
"44";0;0;0;0;0;0;0;0;0;0;0;1
"45";0;0;0;0;0;0;0;0;0;0;0;2
"46";0;0;0;0;0;0;0;0;0;0;0;1
"47";0;0;0;0;0;0;0;0;0;0;0;2
"48";0;0;0;0;0;0;0;0;0;0;0;2
"49";0;0;0;0;0;0;0;0;0;0;0;0
"50";0;0;0;0;0;0;0;0;0;0;0;0
"51";0;0;0;0;0;0;0;0;0;0;0;0
"52";0;0;0;0;0;0;0;0;0;0;0;0
"53";0;0;0;0;0;0;0;0;0;0;0;0
"54";0;0;0;0;0;0;0;0;0;0;0;0
"55";0;0;0;0;0;0;0;0;0;0;0;0
"56";0;0;0;0;0;0;0;0;0;0;0;0
"57";0;0;0;0;0;0;0;0;0;0;0;0
"58";0;0;0;0;0;0;0;0;0;0;0;0
"59";0;0;0;0;0;0;0;0;0;0;0;0
"60";0;0;0;0;0;0;0;0;0;0;0;0
"61";0;0;0;0;0;0;0;0;0;0;0;0
"62";0;0;0;0;0;0;0;0;0;0;0;0
"63";0;0;0;0;0;0;0;0;0;0;0;0
"64";0;0;0;0;0;0;0;0;0;0;0;0
"65";0;0;0;0;0;0;0;0;0;0;0;0
"66";0;0;0;0;0;0;0;0;0;0;0;0
"67";0;0;0;0;0;0;0;0;0;0;0;2
"68";0;0;0;0;0;0;0;0;0;0;0;0
"69";0;0;0;0;0;0;0;0;0;0;0;0
"70";0;0;0;0;0;0;0;0;0;0;0;0
"71";0;0;0;0;0;0;0;0;0;0;0;2
"72";0;0;0;0;0;0;0;0;0;0;0;0
"73";0;0;0;0;0;0;0;0;0;0;0;0
"74";0;0;0;0;0;0;0;0;0;0;0;0
"75";0;0;0;0;0;0;0;0;0;0;0;0
"76";0;0;0;0;0;0;0;0;0;0;0;0
"77";0;0;0;0;0;0;0;0;0;0;0;0
"78";0;0;0;0;0;0;0;0;0;0;0;2
"79";0;0;0;0;0;0;0;0;0;0;0;2
"80";0;0;0;0;0;0;0;0;0;0;0;0
"81";0;0;0;0;0;0;0;0;0;0;0;0
"82";0;0;0;0;0;0;0;0;0;0;0;2
"83";0;0;0;0;0;0;0;0;0;0;0;0
"84";0;0;0;0;0;0;0;0;0;0;0;0
"85";0;0;0;0;0;0;0;0;0;0;0;0
"86";0;0;0;0;0;0;0;0;0;0;0;0
"87";0;0;0;0;0;0;0;0;0;0;0;1
"88";0;0;0;0;0;0;0;0;0;0;0;1
"89";0;0;0;0;0;0;0;0;0;0;0;1
"90";0;0;0;0;0;0;0;0;0;0;0;1
"91";0;0;0;0;0;0;0;0;0;0;0;1
"92";0;0;0;0;0;0;0;0;0;0;0;1
"93";0;0;0;0;0;0;0;0;0;0;0;1
"94";0;0;0;0;0;0;0;0;0;0;0;1
"95";0;0;0;0;0;0;0;0;0;0;0;1
"96";0;0;0;0;0;0;0;0;0;0;0;2
"97";0;0;0;0;0;0;0;0;0;0;0;0
"98";0;0;0;0;0;0;0;0;0;0;0;0
"99";0;0;0;0;0;0;0;0;0;0;0;0
"100";0;0;0;0;0;0;0;0;0;0;0;0
"101";0;0;0;0;0;0;0;0;0;0;0;0
"102";0;0;0;0;0;0;0;0;0;0;0;0
"103";0;0;0;0;0;0;0;0;0;0;0;0
